gene	disease	inheritance
ATP8A2	Cerebellar ataxia, mental retardation, and dysequilibrium syndrome 4;CEREBELLAR ATAXIA, MENTAL RETARDATION, AND DYSEQUILIBRIUM SYNDROME 4 (1 family)	
ATP8B1	CHOLESTASIS, BENIGN RECURRENT INTRAHEPATIC 1;Cholestasis, benign recurrent intrahepatic 1;Progressive intrahepatic cholestasis	Autosomal recessive inheritance
ATPAF2	Nuclearly-encoded mitochondrial complex V (ATP synthase) deficiency 1;MITOCHONDRIAL COMPLEX V (ATP SYNTHASE) DEFICIENCY, NUCLEAR TYPE 1	
ATR	Cutaneous telangiectasia and cancer syndrome, familial;CUTANEOUS TELANGIECTASIA AND CANCER SYNDROME, FAMILIAL (1 family)	
ATRX	Acquired hemoglobin H disease;ALPHA-THALASSEMIA MYELODYSPLASIA SYNDROME, SOMATIC	
AUH	3-Methylglutaconic aciduria;3-@METHYLGLUTACONIC ACIDURIA, TYPE I	
AURKC	Infertility associated with multi-tailed spermatozoa and excessive DNA;SPERMATOGENIC FAILURE 5	
AUTS2	Mental retardation, autosomal dominant 26;MENTAL RETARDATION, AUTOSOMAL DOMINANT 26	
AVP	Diabetes insipidus, neurohypophyseal, autosomal recessive;DIABETES INSIPIDUS, NEUROHYPOPHYSEAL, AUTOSOMAL RECESSIVE	
AVPR2	DIABETES INSIPIDUS, NEPHROGENIC, X-LINKED;Nephrogenic diabetes insipidus, X-linked;Nephrogenic Diabetes Insipidus;Nephrogenic diabetes insipidus	
AXIN2	Carcinoma of colon;COLORECTAL CANCER, SOMATIC	Somatic mutation
B2M	Familial visceral amyloidosis, Ostertag type;AMYLOIDOSIS, FAMILIAL VISCERAL (1 family)	Autosomal dominant inheritance
B3GALNT2	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 11;not provided;Congenital muscular dystrophy-dystroglycanopathy with brain and eye anomalies, type A11;MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH BRAIN AND EYE ANOMALIES), TYPE A, 11	
B3GALT6	Ehlers-Danlos syndrome, progeroid type, 2;EHLERS-DANLOS SYNDROME, PROGEROID TYPE, 2	
B3GAT3	MULTIPLE JOINT DISLOCATIONS, SHORT STATURE, AND CRANIOFACIAL DYSMORPHISM WITH CONGENITAL HEART DEFECTS;MULTIPLE JOINT DISLOCATIONS, SHORT STATURE, AND CRANIOFACIAL DYSMORPHISM WITH CONGENITAL HEART DEFECTS	
B3GLCT	Peters Plus Syndrome;not provided;Peters plus syndrome;PETERS-PLUS SYNDROME	
B4GALNT1	Spastic paraplegia 26;SPASTIC PARAPLEGIA 26, AUTOSOMAL RECESSIVE	
B4GALT7	Ehlers-Danlos syndrome progeroid type;EHLERS-DANLOS SYNDROME WITH SHORT STATURE AND LIMB ANOMALIES	
B9D1	Joubert syndrome	
B9D2	Joubert syndrome	
BAAT	Atypical hemolytic-uremic syndrome 1;Atypical Hemolytic-Uremic Syndrome	Autosomal recessive inheritance
BAG3	Dilated cardiomyopathy 1HH;Cardiomyopathy, arrhythmogenic right ventricular dysplasia;Arrhythmogenic right ventricular cardiomyopathy;CARDIOMYOPATHY, DILATED, 1HH	Autosomal dominant inheritance
BANF1	Nestor-Guillermo progeria syndrome;NESTOR-GUILLERMO PROGERIA SYNDROME	
BAP1	BAP1 Cancer Syndrome;malignant mesothelioma;uveal melanoma;renal cell carcinoma;basal cell carcinoma;BAP1 Cancer Syndrome	
BARD1	Familial cancer of breast	Autosomal dominant inheritance
BAX	Carcinoma of colon;COLORECTAL CANCER, SOMATIC	Somatic mutation
BBIP1	Bardet-Biedl syndrome 18;BARDET-BIEDL SYNDROME 18 (1 family);Bardet-Biedl syndrome	
BBS1	Bardet-Biedl syndrome	
BBS10	Bardet-Biedl syndrome	
BBS12	Bardet-Biedl syndrome 12;Bardet-Biedl syndrome 12	
BBS2	Bardet-biedl syndrome 1/2, digenic;BARDET-BIEDL SYNDROME 1/2, DIGENIC	
BBS4	Bardet-Biedl syndrome 4;Bardet-Biedl syndrome 4	
BBS5	Bardet-Biedl syndrome 5;BARDET-BIEDL SYNDROME 5	
BBS7	Bardet-Biedl syndrome 1/7, digenic;BARDET-BIEDL SYNDROME 1/7, DIGENIC	
BBS9	Bardet-Biedl syndrome	
BCAM	BLOOD GROUP--LUTHERAN NULL;BLOOD GROUP--LUTHERAN NULL	
BCAP31	Chromosome Xq28 deletion syndrome;DEAFNESS, DYSTONIA, AND CEREBRAL HYPOMYELINATION	X-linked inheritance
BCHE	BCHE, fluoride 2;BCHE, FLUORIDE 2	
BCKDHA	Maple syrup urine disease	Autosomal recessive inheritance
BCKDHB	Maple syrup urine disease	Autosomal recessive inheritance
BCKDK	Branched-chain keto acid dehydrogenase kinase deficiency;BCKDK DEFICIENCY	
BCL10	Follicular lymphoma;FOLLICULAR LYMPHOMA, SOMATIC	
BCO1	Hypercarotenemia and vitamin a deficiency, autosomal dominant;HYPERCAROTENEMIA AND VITAMIN A DEFICIENCY, AUTOSOMAL DOMINANT	
BCOR	Congenital cataract	
BCS1L	Bjornstad syndrome with mild mitochondrial complex III deficiency;BJORNSTAD SYNDROME WITH MILD MITOCHONDRIAL COMPLEX III DEFICIENCY	
BEST1	Bestrophinopathy, autosomal recessive;BESTROPHINOPATHY, AUTOSOMAL RECESSIVE	
BGN	Spondyloepimetaphyseal dysplasia X-linked;SPONDYLOEPIMETAPHYSEAL DYSPLASIA, X-LINKED	
BHLHA9	Syndactyly type 9;Abnormality of the skeletal system;Abnormality of the metacarpal bones;Syndactyly type 9;SYNDACTYLY, MESOAXIAL SYNOSTOTIC, WITH PHALANGEAL REDUCTION	
BICD2	Spinal muscular atrophy, lower extremity predominant 2, autosomal dominant;SPINAL MUSCULAR ATROPHY, LOWER EXTREMITY-PREDOMINANT, 2, AUTOSOMAL DOMINANT	
BIN1	Autosomal recessive centronuclear myopathy;Myopathy, centronuclear, autosomal recessive	Autosomal recessive inheritance
BLK	not specified;AllHighlyPenetrant;Maturity-onset diabetes of the young, type 11;MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 11	
BLM	Blooms Syndrome;Hereditary cancer-predisposing syndrome;Bloom syndrome;Neoplastic Syndromes, Hereditary	Autosomal recessive inheritance;Autosomal dominant inheritance
BLOC1S3	Hermansky-Pudlak syndrome 8;HERMANSKY-PUDLAK SYNDROME 8;Hermansky-Pudlak Syndrome	
BLOC1S6	Hermansky-Pudlak syndrome 9;HERMANSKY-PUDLAK SYNDROME 9	
BLVRA	Hyperbiliverdinemia;HYPERBILIVERDINEMIA	
BMP1	OSTEOGENESIS IMPERFECTA, TYPE XIII;not provided;Osteogenesis imperfecta, type xiii	Autosomal recessive inheritance
BMP15	Ovarian dysgenesis 2;OVARIAN DYSGENESIS 2	
BMP4	Microphthalmia syndromic 6;MICROPHTHALMIA, SYNDROMIC 6	
BMPER	Diaphanospondylodysostosis;DIAPHANOSPONDYLODYSOSTOSIS	
BMPR1A	Hereditary cancer-predisposing syndrome	Autosomal dominant inheritance
BMPR1B	Brachydactyly, type a1, d;BRACHYDACTYLY, TYPE A1, D	
BMPR2	not provided;not provided	
BMS1	Aplasia cutis congenita;APLASIA CUTIS CONGENITA, NONSYNDROMIC (1 family)	
BOLA3	Multiple mitochondrial dysfunctions syndrome 2;MULTIPLE MITOCHONDRIAL DYSFUNCTIONS SYNDROME 2 WITH HYPERGLYCINEMIA	
BPGM	Deficiency of bisphosphoglycerate mutase;BISPHOSPHOGLYCERATE MUTASE DEFICIENCY, ERYTHROCYTOSIS DUE TO	Autosomal recessive inheritance
BRAF	Adenocarcinoma of lung;ADENOCARCINOMA OF LUNG, SOMATIC	
BRAT1	Inborn genetic diseases;Ataxia;MR/ID/DD;Musculoskeletal/Structural (child onset);Neurologic (child onset)	
BRCA1	BRCA1 and BRCA2 Hereditary Breast and Ovarian Cancer;BREAST-OVARIAN CANCER, FAMILIAL, SUSCEPTIBILITY TO, 1;Hereditary breast and ovarian cancer syndrome;Neoplastic Syndromes, Hereditary;Breast-ovarian cancer, familial 1;Hereditary cancer-predisposing syndrome	Autosomal dominant inheritance
BRCA2	Ateleiotic dwarfism;Global developmental delay;bilateral hip dysplasia;ectopic kidney;PDA;retinoblastoma;brain glioma;normal blood indices and bone marrow;Primordial Dwarfism	Autosomal recessive inheritance
BRF1	Cerebellofaciodental syndrome;short stature;taurodontism;CEREBELLOFACIODENTAL SYNDROME;intellectual disability;cerebellar hypoplasia;facial dysmorphisms;cerebellar-facial-dental syndrome;microcephaly;prominent incisors	
BRIP1	Breast cancer, early-onset;BREAST CANCER, EARLY-ONSET	Autosomal dominant inheritance
BRWD3	Mental retardation, X-linked 93;MENTAL RETARDATION, X-LINKED 93	X-linked inheritance
BSND	Bartter syndrome type 4;BARTTER SYNDROME, TYPE 4A	
BTD	Biotinidase deficiency	Autosomal recessive inheritance
BTK	Hypoagammaglobulinemia, X-linked;HYPOAGAMMAGLOBULINEMIA, X-LINKED	
BUB1	Carcinoma of colon;COLORECTAL CANCER, SOMATIC	Somatic mutation
BUB1B	MOSAIC VARIEGATED ANEUPLOIDY SYNDROME 1;Mosaic variegated aneuploidy syndrome;Premature chromatid separation trait	
BVES	Muscular dystrophy, limb-girdle, type 2X;MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 2X (1 family)	
C10orf11	Albinism, oculocutaneous, type VII;ALBINISM, OCULOCUTANEOUS, TYPE VII	
C10orf2	Autosomal dominant progressive external ophthalmoplegia with mitochondrial DNA deletions 3;PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA WITH MITOCHONDRIAL DNA DELETIONS, AUTOSOMAL DOMINANT 3	
C12orf57	Seizures;Epilepsy;Corpus callosum abnormalities;TEMTAMY SYNDROME;Global developmental delay;Temtamy syndrome;Colobomatous microphthalmia	
C12orf65	Combined oxidative phosphorylation deficiency 7;COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 7	
C15orf41	ANEMIA, CONGENITAL DYSERYTHROPOIETIC, TYPE Ib;ANEMIA, CONGENITAL DYSERYTHROPOIETIC, TYPE Ib;ANEMIA, CONGENITAL DYSERYTHROPOIETIC, TYPE Ib	
C19orf12	Neurodegeneration with brain iron accumulation 4;Neurodegeneration with brain iron accumulation 4	Autosomal recessive inheritance
C1GALT1C1	Polyagglutinable erythrocyte syndrome;TN POLYAGGLUTINATION SYNDROME, SOMATIC	
C1QA	C1q deficiency;C1q DEFICIENCY	
C1S	Complement 1s deficiency;C1s DEFICIENCY	
C21orf59	Kartagener syndrome;CILIARY DYSKINESIA, PRIMARY, 26, WITHOUT SITUS INVERSUS;Ciliary dyskinesia, primary, 26	Autosomal recessive inheritance
C2CD3	Joubert syndrome	
C2orf71	Retinitis pigmentosa 54;RETINITIS PIGMENTOSA 54	
C4orf26	Amelogenesis imperfecta, hypomaturation type IIA4;AMELOGENESIS IMPERFECTA, HYPOMATURATION TYPE, IIA4	
C5	Leiner disease;COMPLEMENT COMPONENT 5 DEFICIENCY	
C5orf42	Joubert syndrome 17	Autosomal recessive inheritance
C6	Complement component 6 deficiency;C6 DEFICIENCY	
C7	Complement component 7 deficiency;C7 DEFICIENCY	
C8B	Complement component 8 deficiency type 2;COMPLEMENT C8 DEFICIENCY, TYPE II	
C8orf37	Cone-rod dystrophy 16;CONE-ROD DYSTROPHY 16	
C9	Complement component 9 deficiency;C9 DEFICIENCY	
CA1	Carbonic anhydrase I deficiency;CARBONIC ANHYDRASE I DEFICIENCY	
CA12	Hyperchlorhidrosis, isolated	Autosomal dominant inheritance
CA2	CARBONIC ANHYDRASE II VARIANT;CARBONIC ANHYDRASE II VARIANT	
CA4	Retinitis pigmentosa 17;RETINITIS PIGMENTOSA 17	
CA5A	Carbonic anhydrase VA deficiency, hyperammonemia due to;CARBONIC ANHYDRASE VA DEFICIENCY, HYPERAMMONEMIA DUE TO;Carbonic anhydrase va deficiency, hyperammonemia due to	
CA8	Cerebellar ataxia, mental retardation, and dysequilibrium syndrome 3;CEREBELLAR ATAXIA AND MENTAL RETARDATION WITH OR WITHOUT QUADRUPEDAL LOCOMOTION 3	
CABP4	Congenital stationary night blindness, type 2B;CONE-ROD SYNAPTIC DISORDER, CONGENITAL NONPROGRESSIVE	Autosomal recessive inheritance
CACNA1A	Episodic ataxia, type 2, and epilepsy;EPISODIC ATAXIA, TYPE 2, AND EPILEPSY	
CACNA1B	Dystonia 23;DYSTONIA 23 (1 family)	
CACNA1C	BRUGADA SYNDROME 3;Brugada Syndrome 3;Brugada syndrome 3;Brugada syndrome	Autosomal dominant inheritance
CACNA1D	PRIMARY ALDOSTERONISM, SEIZURES, AND NEUROLOGIC ABNORMALITIES;not provided;Primary aldosteronism, seizures, and neurologic abnormalities	
CACNA1F	Cone-rod dystrophy X-linked 3;CONE-ROD DYSTROPHY, X-LINKED, 3	
CACNA1G	Spinocerebellar ataxia 42;SPINOCEREBELLAR ATAXIA 42	
CACNA1H	Primary hyperaldosteronism;Primary hyperaldosteronism;Hypertension;Hypertension;Primary hyperaldosteronism;Hypertension;Primary hyperaldosteronism;Hypertension;Hypertension;Primary hyperaldosteronism;Hypertension;Primary hyperaldosteronism;Hypertension;Primary hyperaldosteronism;Hypertension;Low renin;Primary hyperaldosteronism	
CACNA1S	Hypokalemic periodic paralysis 1;Hypokalemic Periodic Paralysis	
CACNA2D4	Retinal cone dystrophy 4;RETINAL CONE DYSTROPHY 4	
CACNB2	Brugada syndrome 4;BRUGADA SYNDROME 4	
CACNB4	not specified;Epilepsy, idiopathic generalized 9;EPILEPSY, GENERALIZED IDIOPATHIC, SUSCEPTIBILITY TO, 9;Episodic ataxia, type 5	
CAD	Congenital disorder of glycosylation type 1z;CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Iz (1 family)	
CALM1	Long QT syndrome 14;LONG QT SYNDROME 14	
CALM2	Long QT syndrome 15;LONG QT SYNDROME 15	
CALR3	Hypertrophic cardiomyopathy;Cardiomyopathy, hypertropic;Arrhythmogenic right ventricular cardiomyopathy;Familial hypertrophic cardiomyopathy 19;CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 19 (1 patient)	Autosomal dominant inheritance
CANT1	Desbuquois syndrome;DESBUQUOIS DYSPLASIA 1	
CAPN1	Spastic paraplegia 76, autosomal recessive;SPASTIC PARAPLEGIA 76, AUTOSOMAL RECESSIVE	
CAPN3	Limb-girdle muscular dystrophy, type 2A	Autosomal recessive inheritance
CAPN5	Vitreoretinopathy, neovascular inflammatory;VITREORETINOPATHY, NEOVASCULAR INFLAMMATORY	
CARD11	B-cell expansion with NFKB and T-cell anergy;B-CELL EXPANSION WITH NFKB AND T-CELL ANERGY	
CARD14	Pityriasis rubra pilaris;PITYRIASIS RUBRA PILARIS	
CARD9	Candidiasis, familial, 2;CANDIDIASIS, FAMILIAL, 2	
CARS2	Alpers encephalopathy;Combined oxidative phosphorylation deficiency 27;combined mitochondrial respiratory chain deficiency| neurological regression| complex movement disorder| intractable seizures;COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 27	
CASK	FG syndrome 4;FG SYNDROME 4	
CASP10	Autoimmune lymphoproliferative syndrome, type 2;AUTOIMMUNE LYMPHOPROLIFERATIVE SYNDROME, TYPE IIA;Autoimmune Lymphoproliferative Syndrome	
CASP8	Caspase-8 deficiency;CASPASE 8 DEFICIENCY (1 family)	
CASQ1	Myopathy, vacuolar, with casq1 aggregates;MYOPATHY, VACUOLAR, WITH CASQ1 AGGREGATES	
CASQ2	not provided;Not Provided	
CASR	Familial hypocalciuric hypercalcemia;Familial Hypocalciuric Hypercalcemia	
CAST	Peeling skin with leukonychia, acral punctate keratoses, cheilitis, and knuckle pads;PEELING SKIN WITH LEUKONYCHIA, ACRAL PUNCTATE KERATOSES, CHEILITIS, AND KNUCKLE PADS	
CATSPER1	CATSPER-Related Male Infertility;SPERMATOGENIC FAILURE 7;CATSPER-Related Male Infertility	
CAV1	Lipodystrophy, congenital generalized, type 3;Craniofacial (child onset);Dermatologic (child onset);Cardiovascular (child onset);Primary pulmonary hypertension 3;Inborn genetic diseases;Renal (child onset)	
CAV3	Limb-girdle muscular dystrophy, type 1C;Limb-girdle muscular dystrophy;MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 1C, AUTOSOMAL RECESSIVE;not specified;not provided;AllHighlyPenetrant;Muscular dystrophy, limb girdle;Not specified	Autosomal dominant inheritance
CBL	Juvenile myelomonocytic leukemia;Noonan syndrome-like disorder with juvenile myelomonocytic leukemia;JUVENILE MYELOMONOCYTIC LEUKEMIA (1 family)	
CBS	Homocystinuria due to CBS deficiency;Homocystinuria due to CBS deficiency	Autosomal recessive inheritance
CBX2	46,XY sex reversal, type 5;46,XY SEX REVERSAL 5;46,XY sex reversal, type 5	
CC2D1A	Autosomal recessive non-syndromic intellectual disability	
CC2D2A	COACH syndrome;Familial aplasia of the vermis;Joubert syndrome 9/15, digenic;COACH SYNDROME	Autosomal recessive inheritance
CCBE1	Hennekam lymphangiectasia-lymphedema syndrome;HENNEKAM LYMPHANGIECTASIA-LYMPHEDEMA SYNDROME 1	Autosomal recessive inheritance
CCDC103	Kartagener syndrome;CILIARY DYSKINESIA, PRIMARY, 17;Ciliary dyskinesia, primary, 17	Autosomal recessive inheritance
CCDC114	Ciliary dyskinesia, primary, 20;CILIARY DYSKINESIA, PRIMARY, 20	
CCDC115	Congenital Disorders of Glycosylation type II;Congenital disorders of glycosylation type II;CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIo	
CCDC151	Kartagener syndrome;Ciliary dyskinesia, primary, 30;CILIARY DYSKINESIA, PRIMARY, 30	Autosomal recessive inheritance
CCDC174	Hypotonia, infantile, with psychomotor retardation;HYPOTONIA, INFANTILE, WITH PSYCHOMOTOR RETARDATION	
CCDC22	Ritscher-schinzel syndrome 2;RITSCHER-SCHINZEL SYNDROME 2	
CCDC39	Ciliary dyskinesia, primary, 14;Primary Ciliary Dyskinesia	
CCDC40	Ciliary dyskinesia, primary, 15;Ciliary dyskinesia, primary, 15	
CCDC65	CILIARY DYSKINESIA, PRIMARY, 27, WITHOUT SITUS INVERSUS;Primary ciliary dyskinesia;Ciliary dyskinesia, primary, 27	Autosomal recessive inheritance
CCDC88A	PEHO syndrome;PEHO SYNDROME (1 family)	
CCDC88C	Hydrocephalus;HYDROCEPHALUS, NONSYNDROMIC, AUTOSOMAL RECESSIVE 1	Autosomal recessive inheritance
CCL2	SPINA BIFIDA, SUSCEPTIBILITY TO;Mycobacterium tuberculosis, susceptibility to;Coronary artery disease, development of, in hiv;Coronary artery disease, modifier of;Spina bifida, susceptibility to	
CCM2	Cerebral cavernous malformations 2;Cerebral cavernous malformations 2	
CCND2	Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 3;MEGALENCEPHALY-POLYMICROGYRIA-POLYDACTYLY-HYDROCEPHALUS SYNDROME 3	
CCNO	Kartagener syndrome;CILIARY DYSKINESIA, PRIMARY, 29;Ciliary dyskinesia, primary, 29	Autosomal recessive inheritance
CCT5	Neuropathy, hereditary sensory, with spastic paraplegia, autosomal recessive;NEUROPATHY, HEREDITARY SENSORY, WITH SPASTIC PARAPLEGIA, AUTOSOMAL RECESSIVE	
CCT7	Myocardial infarction 1;Myocardial infarction 1	
CD164	Deafness, autosomal dominant 66;DEAFNESS, AUTOSOMAL DOMINANT 66 (1 family)	
CD207	Birbeck granule deficiency;BIRBECK GRANULE DEFICIENCY	
CD247	Immunodeficiency due to defect in cd3-zeta;IMMUNODEFICIENCY DUE TO DEFECT IN CD3-ZETA	
CD2AP	Focal segmental glomerulosclerosis 3;FOCAL SEGMENTAL GLOMERULOSCLEROSIS 3	
CD36	Platelet glycoprotein IV deficiency;PLATELET GLYCOPROTEIN IV DEFICIENCY	
CD3D	Immunodeficiency 19;IMMUNODEFICIENCY 19	
CD3E	Immunodeficiency 18;IMMUNODEFICIENCY 18	
CD3G	Immunodeficiency 17;IMMUNODEFICIENCY 17	
CD4	Okt4 epitope deficiency;OKT4 EPITOPE DEFICIENCY	
CD40	Immunodeficiency with hyper IgM type 3;IMMUNODEFICIENCY WITH HYPER-IgM, TYPE 3	
CD40LG	Immunodeficiency with hyper IgM type 1;Hyper IgM Syndrome Type 1	
CD59	Cd59 deficiency;HEMOLYTIC ANEMIA, CD59-MEDIATED, WITH IMMUNE-MEDIATED POLYNEUROPATHY	
CD79B	Agammaglobulinemia 6, autosomal recessive;AGAMMAGLOBULINEMIA 6	
CD81	IMMUNODEFICIENCY, COMMON VARIABLE, 6 (1 patient);IMMUNODEFICIENCY, COMMON VARIABLE, 6 (1 patient)	
CD8A	Cd8 deficiency, familial;CD8 DEFICIENCY, FAMILIAL	
CD96	C syndrome;C SYNDROME	
CDAN1	Congenital dyserythropoietic anemia, type I;ANEMIA, CONGENITAL DYSERYTHROPOIETIC, TYPE Ia	Autosomal dominant inheritance;Autosomal recessive inheritance
CDC14A	Deafness, autosomal recessive 105;DEAFNESS, AUTOSOMAL RECESSIVE 105	
CDC42	Takenouchi-Kosaki syndrome;TAKENOUCHI-KOSAKI SYNDROME	
CDC45	Meier-gorlin syndrome 7;MEIER-GORLIN SYNDROME 7	
CDC6	Meier-Gorlin syndrome 5;MEIER-GORLIN SYNDROME 5 (1 patient)	Autosomal recessive inheritance
CDC73	Cystic parathyroid adenoma;CYSTIC PARATHYROID ADENOMA, SOMATIC	
CDCA7	Immunodeficiency-centromeric instability-facial anomalies syndrome 3;IMMUNODEFICIENCY-CENTROMERIC INSTABILITY-FACIAL ANOMALIES SYNDROME 3	
CDH1	AllHighlyPenetrant;not specified;Neoplasm of stomach;Gastric cancer;GASTRIC CANCER, HEREDITARY DIFFUSE;Neoplastic Syndromes, Hereditary;Hereditary cancer-predisposing syndrome;Hereditary diffuse gastric cancer	Autosomal dominant inheritance
CDH15	Mental retardation, autosomal dominant 3;MENTAL RETARDATION, AUTOSOMAL DOMINANT 3	
CDH23	Deafness, autosomal recessive 12;DEAFNESS, AUTOSOMAL RECESSIVE 12	
CDH3	EEM syndrome;ECTODERMAL DYSPLASIA, ECTRODACTYLY, AND MACULAR DYSTROPHY SYNDROME	
CDK13	Failure to thrive;Abnormal facial shape;Delayed speech and language development;Muscular hypotonia;Intellectual disability (moderate);Facial dysmorphism;Hypotonia;Intellectual disability (moderate);Speech delay;Failure to thrive	
CDK16	not provided;not provided	
CDK4	Cutaneous malignant melanoma 3;MELANOMA, CUTANEOUS MALIGNANT, SUSCEPTIBILITY TO, 3;Hereditary cutaneous melanoma	
CDK5	Lissencephaly 7 with cerebellar hypoplasia;LISSENCEPHALY 7 WITH CEREBELLAR HYPOPLASIA (1 family)	
CDK5RAP2	Primary autosomal recessive microcephaly 3;Microcephaly 3, primary, autosomal recessive	Autosomal recessive inheritance
CDK6	Primary autosomal recessive microcephaly 12;MICROCEPHALY 12, PRIMARY, AUTOSOMAL RECESSIVE (1 family)	
CDKL5	Angelman syndrome;Angelman syndrome-like	Autosomal dominant inheritance;Autosomal recessive inheritance
CDKN1B	Multiple endocrine neoplasia, type 4;MULTIPLE ENDOCRINE NEOPLASIA, TYPE IV	
CDKN1C	Beckwith-Wiedemann syndrome;Beckwith-Wiedemann syndrome	
CDKN2A	Cutaneous malignant melanoma 1;Cutaneous malignant melanoma 1	
CDON	Holoprosencephaly 11;HOLOPROSENCEPHALY 11	
CDT1	Meier-Gorlin syndrome 4;Meier-Gorlin syndrome 4	Autosomal recessive inheritance
CEACAM16	Deafness, autosomal dominant 4b;DEAFNESS, AUTOSOMAL DOMINANT 4B	
CEBPA	Acute myeloid leukemia;Familial Acute Myeloid Leukemia (AML) with Mutated CEBPA	Autosomal dominant inheritance;Somatic mutation
CECR1	Idiopathic livedo reticularis with systemic involvement;SNEDDON SYNDROME (1 family)	
CENPE	Primary autosomal recessive microcephaly 13;MICROCEPHALY 13, PRIMARY, AUTOSOMAL RECESSIVE (1 family)	
CENPF	Stromme syndrome;STROMME SYNDROME	
CENPJ	Primary autosomal recessive microcephaly 6;Microcephaly 6, primary, autosomal recessive	Autosomal recessive inheritance
CEP104	Joubert syndrome 25;JOUBERT SYNDROME 25	
CEP120	Short-rib thoracic dysplasia 13 with or without polydactyly;SHORT-RIB THORACIC DYSPLASIA 13 WITH OR WITHOUT POLYDACTYLY	
CEP135	Primary autosomal recessive microcephaly 8;MICROCEPHALY 8, PRIMARY, AUTOSOMAL RECESSIVE (1 family)	
CEP152	not specified;SECKEL SYNDROME 5;Seckel syndrome 5	
CEP164	Nephronophthisis 15;NEPHRONOPHTHISIS 15	
CEP19	Morbid obesity and spermatogenic failure;MORBID OBESITY AND SPERMATOGENIC FAILURE (1 family)	
CEP290	BARDET-BIEDL SYNDROME 14 (1 patient);Bardet-Biedl syndrome 14;Joubert syndrome 5	Autosomal recessive inheritance
CEP41	Joubert syndrome 12/15, digenic;JOUBERT SYNDROME 12/15, DIGENIC	
CEP57	Mosaic variegated aneuploidy syndrome 2;MOSAIC VARIEGATED ANEUPLOIDY SYNDROME 2	
CEP63	Seckel syndrome 6;Seckel syndrome 6	
CEP83	Nephronophthisis 18;NEPHRONOPHTHISIS 18	
CERKL	Retinitis pigmentosa 26;RETINITIS PIGMENTOSA 26	
CERS3	Autosomal recessive congenital ichthyosis 9;ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESSIVE 9	
CES1	Carboxylesterase 1 deficiency;CARBOXYLESTERASE 1 DEFICIENCY	
CETP	Hyperalphalipoproteinemia;HYPERALPHALIPOPROTEINEMIA 1	
CFAP53	Heterotaxy, visceral, 6, autosomal;HETEROTAXY, VISCERAL, 6, AUTOSOMAL	
CFB	Age-related macular degeneration 14;MACULAR DEGENERATION, AGE-RELATED, 14, REDUCED RISK OF	
CFD	Complement factor d deficiency;COMPLEMENT FACTOR D DEFICIENCY	Autosomal recessive inheritance
CFH	Age-related macular degeneration 4;COMPLEMENT FACTOR H DEFICIENCY;Atypical hemolytic-uremic syndrome 1;Factor H deficiency	Autosomal recessive inheritance
